stocks,first_lower,second_lower,third_lower,first_higher,second_higher,third_higher,close_data
UBL,1908.0,1810.0,1806.45,2182.45,2204.9,,2146.0
M&MFIN,265.7,254.3,239.9,340.25,343.0,,284.95
OBEROIRLTY,1585.55,1088.95,1051.9,1953.05,2343.65,,1812.65
ADANIPORTS,995.65,987.85,924.65,1160.6,1621.4,,1099.35
DLF,687.05,463.05,449.7,929.0,967.6,,745.05
NAUKRI,7465.4,5880.0,5250.0,,,,7723.7
AUROPHARMA,1063.9,1023.7,967.5,1177.1,1592.0,,1171.9
ESCORTS,3440.15,3102.0,2648.4,4409.55,4420.0,,3623.45
MRF,98599.95,96000.0,87550.0,116347.85,143849.9,151445.0,113632.5
GRANULES,480.45,437.95,404.8,628.0,721.0,,556.35
CIPLA,1403.0,1317.25,1277.9,1519.0,1702.05,,1479.4
COALINDIA,395.05,232.4,216.9,471.85,527.8,,395.9
SRF,2773.35,2693.95,2636.0,2865.0,,,2809.85
CHOLAFIN,1168.0,1011.2,997.25,1310.0,1652.0,,1285.85
DRREDDY,1197.95,1122.9,1120.0,1301.2,1421.5,,1217.35
ZYDUSLIFE,673.7,668.75,567.75,1324.3,,,970.25
IEX,173.35,163.75,159.11,192.0,244.4,251.5,174.6
DEEPAKNTR,2282.1,2035.1,2021.0,2356.6,2372.7,2521.15,2325.6
SUNTV,612.0,586.55,570.4,734.9,921.0,,618.85
APOLLOHOSP,6594.15,5935.4,5693.2,6874.45,,,6810.5
PIDILITIND,2796.0,2764.7,2735.0,2918.95,3415.0,,2871.7
SBICARD,765.0,695.55,678.9,817.4,883.0,918.75,778.2
UNITDSPR,1019.95,951.8,944.0,1647.5,,,1424.0
IDEA,8.8,7.75,6.61,10.1,10.95,11.75,9.05
BAJFINANCE,7830.0,7824.0,7778.0,7999.9,8045.0,8050.0,7885.1
POWERGRID,182.7,175.3,149.65,366.25,,,301.65
JINDALSTEL,722.8,622.75,581.6,1097.0,,,791.55
BANKBARODA,212.05,189.6,138.9,228.85,266.95,278.0,213.39
TATACHEM,960.05,935.0,933.0,993.05,1050.3,1069.95,986.1
JSWSTEEL,895.75,840.0,823.8,1063.0,,,945.0
MGL,1284.4,1257.0,1246.2,1580.0,1988.0,,1379.85
MARUTI,11561.45,10725.0,9769.0,13073.95,13680.0,,12310.65
ABCAPITAL,162.45,155.0,139.7,199.3,244.0,246.9,179.39
SHRIRAMFIN,438.6,339.3,307.0,730.45,,,543.75
CANBK,92.98,65.13,51.33,125.68,,,93.27
ALKEM,4407.05,4243.0,4070.0,5520.0,5578.8,6439.9,5063.05
HAVELLS,1504.45,1465.85,1405.55,1985.4,2106.0,,1566.2
DABUR,525.0,517.0,504.1,552.55,575.5,576.85,529.85
BAJAJ-AUTO,4541.0,4361.4,4347.0,12774.0,,,8847.8
CONCOR,754.4,748.0,718.0,828.75,880.7,1180.0,780.1
INDIGO,3780.0,2745.1,2380.0,5035.0,,,4324.35
APOLLOTYRE,429.0,365.0,303.35,440.9,441.65,557.0,437.3
DIXON,6243.6,4735.0,4690.0,19148.9,,,14985.95
SBIN,731.95,629.55,621.9,875.45,912.0,,772.9
TATAMOTORS,665.4,536.7,494.4,855.4,1065.6,1179.0,716.1
VEDL,398.75,343.9,298.75,475.75,523.65,526.95,441.4
INDIAMART,2043.5,1980.0,1838.0,2230.0,2393.35,2457.5,2066.4
RECLTD,408.3,126.65,125.85,524.0,573.3,654.0,449.85
BHARATFORG,1148.05,1063.0,919.45,1330.0,1804.5,,1224.05
ASIANPAINT,1916.7,1431.2,,2560.0,2599.35,2670.1,2300.8
HDFCBANK,1641.0,1532.05,1460.25,1702.4,1721.4,1722.1,1698.75
GUJGASLTD,478.05,442.5,442.0,490.0,526.0,533.3,486.0
GNFC,486.5,485.5,471.7,573.75,580.15,620.1,554.45
COLPAL,1823.4,1695.95,1676.0,3890.0,,,2821.55
NATIONALUM,147.15,132.7,127.95,262.99,,,202.24
IRCTC,774.9,758.0,557.1,845.3,862.75,1049.0,822.3
PFC,351.7,123.0,112.4,426.55,477.8,523.9,422.5
POLYCAB,5733.0,3801.0,2820.0,7331.45,7605.0,,6037.95
IGL,198.6,187.85,182.05,203.5,211.5,226.0,201.8
VOLTAS,1132.0,1125.0,955.0,1347.65,1356.9,1944.9,1260.85
NTPC,313.95,182.95,182.2,448.45,,,324.0
BEL,257.45,147.15,114.65,320.85,340.5,,292.65
CUMMINSIND,1980.15,1653.3,1162.0,4171.9,,,2914.05
MARICO,607.7,595.0,579.6,719.85,,,670.65
SIEMENS,4068.85,3246.0,3138.5,6502.75,7968.7,8129.9,6073.35
GLENMARK,880.0,771.0,722.1,1830.95,,,1453.2
NMDC,63.45,41.07,31.72,68.3,82.83,95.45,66.1
GODREJCP,1102.05,1055.05,959.8,1138.0,1140.05,1314.3,1121.25
BHEL,91.55,80.35,79.55,210.7,224.05,335.35,208.09
ABB,4678.0,4340.3,3850.0,8940.6,9149.95,,5874.65
TATAPOWER,298.05,276.5,267.85,371.65,464.2,494.85,364.5
NAVINFLUOR,3979.45,3847.7,3764.8,4212.75,4329.0,4724.25,4148.7
GAIL,167.18,106.14,104.74,237.33,,,170.67
HAL,1767.8,1405.9,1150.0,4755.0,5674.75,,3936.8
MCX,4270.0,2917.85,2135.0,7048.6,,,5732.95
BOSCHLTD,27500.0,19990.0,19250.0,36678.0,39088.8,,28729.15
MOTHERSON,118.7,103.4,91.65,153.75,162.75,216.99,141.26
BRITANNIA,4669.2,4663.8,4641.0,5270.35,5386.05,6469.9,5129.65
