Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
167,Emami Paper Mills Ltd,EMAMIPAP,P&F | F.A,0.15%,114.24,"50,091"
50,Bharat Bond ETF - April 2030,EBBETF0430,P&F | F.A,0.14%,1439.05,"13,731"
152,NIFTY50PR1XINV,NIFTY50PR1XINV,P&F | F.A,0.14%,210.75,0
156,NIFTY50TR1XINV,NIFTY50TR1XINV,P&F | F.A,0.14%,174.6,0
165,Nippon India ETF Nifty SDL-2026 Maturity,SDL26BEES,P&F | F.A,0.14%,126.24,"1,685"
58,Brigade Enterprises Limited,BRIGADE,P&F | F.A,0.13%,1260,"88,288"
186,Motilal Oswal S&P BSE Healthcare ETF,MOHEALTH,P&F | F.A,0.13%,44.57,"41,718"
181,Nippon India ETF 5 Year Gilt,GILT5YBEES,P&F | F.A,0.10%,58.77,"2,24,395"
64,Astec Lifesciences Limited,ASTEC,P&F | F.A,0.09%,1085.1,"31,416"
159,Uniphos Enterprises Limited,UNIENTER,P&F | F.A,0.09%,159.73,"22,831"
103,Yatharth Hospital & Trauma Care Services Ltd,YATHARTH,P&F | F.A,0.08%,618.95,"2,77,842"
43,AAVAS Financiers Ltd,AAVAS,P&F | F.A,0.07%,1673.7,"72,173"
171,Groww Nifty 1D Rate Liquid ETF,GROWWLIQID,P&F | F.A,0.06%,101.67,"2,01,500"
170,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,P&F | F.A,0.05%,106.1,"45,58,755"
69,Kotak Nifty 1D Rate Liquid ETF,LIQUID1,P&F | F.A,0.04%,1026.01,"1,48,287"
70,Mirae Asset Nifty 1D Rate Liquid ETF-Growth,LIQUIDPLUS,P&F | F.A,0.04%,1008.72,569
12,Craftsman Automation Ltd,CRAFTSMAN,P&F | F.A,0.03%,5215,"16,987"
25,NIFTYGS10YR,NIFTYGS10YR,P&F | F.A,0.03%,2440.25,0
67,DSP S&P BSE Liquid Rate ETF,LIQUIDADD,P&F | F.A,0.03%,1048.21,"5,73,451"
68,Shriram Nifty 1D Rate Liquid ETF,LIQUIDSHRI,P&F | F.A,0.03%,1029.56,"5,005"
71,Bajaj Finserv Nifty 1D Rate Liquid ETF,LIQUIDBETF,P&F | F.A,0.03%,1007.15,"2,40,571"
147,SBI-ETF 10 Year GILT,SETF10GILT,P&F | F.A,0.03%,242.36,"10,645"
22,Teamlease Services Limited,TEAMLEASE,P&F | F.A,0.02%,2900,"11,836"
185,Msp Steel & Power Limited,MSPL,P&F | F.A,0.02%,45.44,"2,51,673"
24,NIFTYGS813YR,NIFTYGS813YR,P&F | F.A,0.01%,2760.14,0
81,NIFTYGS10YRCLN,NIFTYGS10YRCLN,P&F | F.A,0.01%,888.89,0
5,NIFTYHEALTHCARE,NIFTYHEALTHCARE,P&F | F.A,0%,14469.6,0
57,Bharat Bond ETF - April 2025,EBBETF0425,P&F | F.A,0%,1262.1,"2,650"
72,SBI Nifty 1D Rate ETF,LIQUIDSBI,P&F | F.A,0%,1000.01,642
73,Nippon India ETF Liquid BeES,LIQUIDBEES,P&F | F.A,0%,999.99,"23,81,498"
21,NIFTYGS48YR,NIFTYGS48YR,P&F | F.A,-0.02%,2980.73,0
23,NIFTYGSCOMPSITE,NIFTYGSCOMPSITE,P&F | F.A,-0.02%,2855.06,0
192,LIC Nomura MF G-Sec Long Term ETF,LICNETFGSC,P&F | F.A,-0.04%,26.66,"14,075"
194,Nippon India NIFTY Pharma ETF Growth Plan,PHARMABEES,P&F | F.A,-0.04%,22.96,"21,18,165"
3,CNXPHARMA,CNXPHARMA,P&F | F.A,-0.06%,22558.9,0
20,NIFTYGS1115YR,NIFTYGS1115YR,P&F | F.A,-0.08%,3054.63,0
98,Shankara Building Products,SHANKARA,P&F | F.A,-0.08%,662.1,"17,012"
136,Orient Bell Limited,ORIENTBELL,P&F | F.A,-0.08%,324.6,"21,267"
188,G-Tec Janix Education Ltd,GTECJAINX,P&F | F.A,-0.08%,36.8,289
110,Kabra Extrusion Technik Limited,KABRAEXTRU,P&F | F.A,-0.10%,519.7,"1,03,219"
60,Bharat Bond ETF - April 2032,BBETF0432,P&F | F.A,-0.11%,1211.04,"1,432"
173,Aartech Solonics Ltd,AARTECH,P&F | F.A,-0.11%,80.25,"70,741"
18,NIFTYGS15YRPLUS,NIFTYGS15YRPLUS,P&F | F.A,-0.12%,3365.61,0
176,Equitas Small Finance Bank Ltd,EQUITASBNK,P&F | F.A,-0.14%,65.16,"15,83,572"
1,Abbott India Limited,ABBOTINDIA,P&F | F.A,-0.15%,28516.15,"5,768"
42,Prestige Estates Projects Limited,PRESTIGE,P&F | F.A,-0.18%,1751.9,"6,12,341"
55,Bharat Bond ETF - April 2031,EBBETF0431,P&F | F.A,-0.19%,1285.76,"15,805"
4,LMW Ltd,LMW,P&F | F.A,-0.24%,17191.15,"4,052"
29,Concord Biotech Ltd,CONCORDBIO,P&F | F.A,-0.26%,2130.35,"24,792"
108,Graphite India Limited,GRAPHITE,P&F | F.A,-0.29%,558.45,"8,74,553"
109,Itd Cementation India Limited,ITDCEM,P&F | F.A,-0.29%,520.15,"2,92,035"
45,Ipca Laboratories Limited,IPCALAB,P&F | F.A,-0.35%,1580.2,"4,09,991"
26,Srf Limited,SRF,P&F | F.A,-0.38%,2277.85,"3,10,188"
118,PCBL Ltd,PCBL,P&F | F.A,-0.38%,457.45,"14,39,535"
36,Coromandel International Limited,COROMANDEL,P&F | F.A,-0.39%,1855.35,"3,48,224"
125,Tvs Electronics Limited,TVSELECT,P&F | F.A,-0.40%,389.9,"9,201"
54,Narayana Hrudayalaya Ltd.,NH,P&F | F.A,-0.41%,1304.3,"1,28,312"
53,Jyoti CNC Automation Ltd,JYOTICNC,P&F | F.A,-0.42%,1349.25,"2,60,832"
151,Kopran Limited,KOPRAN,P&F | F.A,-0.43%,220.21,"80,000"
162,Axis Healthcare ETF,AXISHCETF,P&F | F.A,-0.44%,146.15,771
47,Jupiter Life Line Hospitals Ltd,JLHL,P&F | F.A,-0.45%,1561.5,"8,723"
59,Birla Corporation Limited,BIRLACORPN,P&F | F.A,-0.47%,1242,"55,545"
101,Marico Limited,MARICO,P&F | F.A,-0.50%,633.35,"15,73,431"
32,Nilkamal Limited,NILKAMAL,P&F | F.A,-0.52%,1904.9,901
76,eMudhra Ltd,EMUDHRA,P&F | F.A,-0.52%,919.35,"1,26,276"
128,N R Agarwal Industries Ltd,NRAIL,P&F | F.A,-0.54%,371,"5,370"
17,Torrent Pharmaceuticals Limited,TORNTPHARM,P&F | F.A,-0.58%,3400.4,"73,392"
51,Expleo Solutions Ltd,EXPLEOSOL,P&F | F.A,-0.58%,1438.5,"6,893"
184,Indbank Merchant Banking Services Limited,INDBANK,P&F | F.A,-0.59%,47.51,"36,069"
9,Apollo Hospitals Enterprise Limited,APOLLOHOSP,P&F | F.A,-0.61%,7221,"1,46,814"
199,Nila Infrastructures Limited,NILAINFRA,P&F | F.A,-0.61%,13.09,"7,28,765"
148,Shreyans Industries Limited,SHREYANIND,P&F | F.A,-0.71%,240,"6,543"
158,Inox Green Energy Services Ltd,INOXGREEN,P&F | F.A,-0.73%,168.1,"7,27,931"
91,Asahi India Glass Limited,ASAHIINDIA,P&F | F.A,-0.74%,747,"41,950"
80,Globus Spirits Limited,GLOBUSSPR,P&F | F.A,-0.75%,893.7,"79,448"
83,Stove Kraft Ltd,STOVEKRAFT,P&F | F.A,-0.81%,842.85,"45,884"
95,PSP Projects,PSPPROJECT,P&F | F.A,-0.81%,673.25,"95,818"
11,Persistent Systems Limited,PERSISTENT,P&F | F.A,-0.82%,6350.9,"2,24,656"
139,Wipro Limited,WIPRO,P&F | F.A,-0.84%,305.3,"88,37,902"
97,Affordable Robotic & Automation Ltd,AFFORDABLE,P&F | F.A,-0.87%,663,"16,299"
65,Punjab Chemicals & Crop Protection Limited,PUNJABCHEM,P&F | F.A,-0.91%,1062,"10,103"
48,Wealth First Portfolio Managers Ltd,WEALTH,P&F | F.A,-0.94%,1551.85,"2,785"
49,Glenmark Pharmaceuticals Limited,GLENMARK,P&F | F.A,-0.95%,1535.8,"3,71,831"
187,Pearl Polymers Limited,PEARLPOLY,P&F | F.A,-1.03%,39.31,"41,753"
138,Kilitch Drugs (india) Limited,KILITCH,P&F | F.A,-1.12%,321,"5,582"
75,LIC Nomura MF ETF - SENSEX,LICNETFSEN,P&F | F.A,-1.16%,919.96,681
87,Westlife Development Ltd,WESTLIFE,P&F | F.A,-1.21%,813.1,"1,93,799"
202,Goyal Aluminiums Ltd,GOYALALUM,P&F | F.A,-1.21%,10.61,"3,00,504"
78,Eid Parry India Limited,EIDPARRY,P&F | F.A,-1.23%,906.85,"3,39,701"
197,Binani Industries Limited,BINANIIND,P&F | F.A,-1.56%,15.74,"3,114"
31,Muthoot Finance Limited,MUTHOOTFIN,P&F | F.A,-1.57%,2035,"3,35,158"
177,3P Land Holdings Ltd,3PLAND,P&F | F.A,-1.61%,62.86,"26,592"
190,Lasa Supergenerics Ltd,LASA,P&F | F.A,-1.75%,28.6,"66,278"
7,Apar Industries Limited,APARINDS,P&F | F.A,-1.76%,9984.8,"51,851"
163,DSP Nifty Healthcare ETF,HEALTHADD,P&F | F.A,-1.78%,142.75,"3,192"
2,Shree Cements Limited,SHREECEM,P&F | F.A,-1.84%,26700.55,"58,697"
172,Shiva Mills Ltd,SHIVAMILLS,P&F | F.A,-1.84%,98.96,"17,453"
44,Mallcom (India) Ltd,MALLCOM,P&F | F.A,-1.87%,1616.5,"2,618"
126,Panama Petrochem Limited,PANAMAPET,P&F | F.A,-1.95%,382.95,"17,916"
154,RBZ Jewellers Ltd,RBZJEWEL,P&F | F.A,-1.96%,204.8,"1,54,035"
35,Suyog Telematics Ltd,SUYOG,P&F | F.A,-1.98%,1858.65,"31,355"
66,K.p.r. Mill Limited,KPRMILL,P&F | F.A,-1.98%,1052.8,"5,58,338"
84,Medplus Health Services Ltd,MEDPLUS,P&F | F.A,-2.02%,833.6,"2,32,345"
175,Hov Services Limited,HOVS,P&F | F.A,-2.06%,71.77,"10,345"
100,Avanti Feeds Limited,AVANTIFEED,P&F | F.A,-2.07%,642.05,"5,14,345"
206,Rollatainers Limited,ROLLT,P&F | F.A,-2.08%,2.35,"1,75,748"
39,AGI Infra Ltd,AGIIL,P&F | F.A,-2.35%,1783,"6,510"
122,Arvind Limited,ARVIND,P&F | F.A,-2.49%,406.85,"3,16,365"
52,Macrotech Developers Ltd,LODHA,P&F | F.A,-2.57%,1403.05,"10,21,026"
15,Sundaram Finance Limited,SUNDARMFIN,P&F | F.A,-2.65%,4399.1,"49,915"
30,PB Fintech Ltd,POLICYBZR,P&F | F.A,-2.74%,2058.5,"10,59,240"
143,Nahar Spinning Mills Limited,NAHARSPING,P&F | F.A,-2.78%,277.65,"26,615"
62,Kec International Limited,KEC,P&F | F.A,-3.21%,1181.35,"7,19,818"
107,Max Estates Ltd,MAXESTATES,P&F | F.A,-3.46%,569.75,"1,71,709"
82,Steelcast Ltd,STEELCAS,P&F | F.A,-3.53%,845,"8,249"
27,Gravita India Limited,GRAVITA,P&F | F.A,-3.81%,2237.95,"12,10,230"
127,SRG Housing Finance Ltd,SRGHFL,P&F | F.A,-3.91%,375.95,"2,735"
33,NGL Fine Chem Ltd,NGLFINE,P&F | F.A,-4%,1901.15,"3,824"
204,Integra Essentia Ltd,ESSENTIA,P&F | F.A,-4.18%,3.44,"19,80,679"
140,Mindteck (india) Limited,MINDTECK,P&F | F.A,-4.28%,301.15,"1,30,076"
183,Medico Remedies Ltd,MEDICO,P&F | F.A,-4.96%,48.51,"13,10,836"
